test_index,true_class,v2_prediction,geometry_prediction,v2_correct,geometry_correct,category,v2_confidence,geometry_nearest_distance,path,filename,subject_id,source,class,split
93,Daal,Tuey,Daal,False,True,V2 wrong / Geometry correct,0.7530942559242249,6.102436065673828,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0334-13daal.JPG,s0334-13daal.JPG,334,original,Daal,test
334,Tuey,Tuey,Tuey,True,True,V2 correct / Geometry correct,0.8398783802986145,9.235024452209473,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0258-23tuey.jpg,s0258-23tuey.jpg,258,original,Tuey,test
335,Tuey,Daal,Tuey,False,True,V2 wrong / Geometry correct,0.6478573679924011,2.8043932914733887,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0261-23tuey.jpg,s0261-23tuey.jpg,261,original,Tuey,test
336,Tuey,Daal,Tuey,False,True,V2 wrong / Geometry correct,0.6199849843978882,2.8097665309906006,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0269-23tuey.jpg,s0269-23tuey.jpg,269,original,Tuey,test
337,Tuey,Daal,Daal,False,False,Both wrong,0.8806658387184143,3.308187246322632,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0271-23tuey.jpg,s0271-23tuey.jpg,271,original,Tuey,test
338,Tuey,Daal,Daal,False,False,Both wrong,0.5094788074493408,2.577186107635498,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0272-23tuey.jpg,s0272-23tuey.jpg,272,original,Tuey,test
339,Tuey,Daal,Daal,False,False,Both wrong,0.6936085820198059,4.702062129974365,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0275-23tuey.jpg,s0275-23tuey.jpg,275,original,Tuey,test
340,Tuey,Daal,Daal,False,False,Both wrong,0.9098920822143555,4.908392906188965,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0286-23tuey.jpg,s0286-23tuey.jpg,286,original,Tuey,test
341,Tuey,Daal,Tuey,False,True,V2 wrong / Geometry correct,0.8926973342895508,4.03849458694458,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0289-23tuey.jpg,s0289-23tuey.jpg,289,original,Tuey,test
342,Tuey,Daal,Daal,False,False,Both wrong,0.9068411588668823,11.593056678771973,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0294-23tuey.JPG,s0294-23tuey.JPG,294,original,Tuey,test
343,Tuey,Tuey,Tuey,True,True,V2 correct / Geometry correct,0.6391031742095947,5.777655601501465,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0313-23tuey.JPG,s0313-23tuey.JPG,313,original,Tuey,test
344,Tuey,Tuey,Tuey,True,True,V2 correct / Geometry correct,0.9069234132766724,6.935428619384766,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Tuey-Original\s0334-23tuey.JPG,s0334-23tuey.JPG,334,original,Tuey,test
